stage,level_title,level_code,grammar_point
小学阶段,L3（三年级上册）,L3,be动词（am/is/are）基本用法
小学阶段,L3（三年级上册）,L3,人称代词主格（I/you/he/she/it）
小学阶段,L3（三年级上册）,L3,形容词性物主代词（my/your）
小学阶段,L3（三年级上册）,L3,指示代词（this/that）
小学阶段,L3（三年级上册）,L3,冠词a/an的用法
小学阶段,L3（三年级上册）,L3,名词单数及基础规则复数
小学阶段,L3（三年级上册）,L3,简单主系表句型
小学阶段,L3（三年级上册）,L3,be动词引导的一般疑问句及回答
小学阶段,L3（三年级上册）,L3,肯定式祈使句
小学阶段,L3（三年级下册）,L3,人称代词主格（we/they）
小学阶段,L3（三年级下册）,L3,形容词性物主代词（his/her）
小学阶段,L3（三年级下册）,L3,介词in/on/under表方位
小学阶段,L3（三年级下册）,L3,名词复数规则变化
小学阶段,L3（三年级下册）,L3,there be句型（单数）
小学阶段,L3（三年级下册）,L3,How many数量询问句型
小学阶段,L3（三年级下册）,L3,特殊疑问句（what/who/where）
小学阶段,L3（三年级下册）,L3,一般疑问句扩展及回答
小学阶段,L4（四年级上册）,L4,情态动词can（表能力）
小学阶段,L4（四年级上册）,L4,名词所有格（'s）
小学阶段,L4（四年级上册）,L4,there be句型（复数）
小学阶段,L4（四年级上册）,L4,形容词作定语/表语
小学阶段,L4（四年级上册）,L4,肯定/否定式祈使句
小学阶段,L4（四年级上册）,L4,介词near/next to/behind表方位
小学阶段,L4（四年级上册）,L4,would like请求句型
小学阶段,L4（四年级上册）,L4,"have/has表""拥有"""
小学阶段,L4（四年级上册）,L4,特殊疑问句（how many）
小学阶段,L4（四年级下册）,L4,一般现在时（实义动词，含第三人称单数）
小学阶段,L4（四年级下册）,L4,现在进行时（be + doing）
小学阶段,L4（四年级下册）,L4,情态动词can（表请求/许可）
小学阶段,L4（四年级下册）,L4,名词性物主代词（mine/yours/his/hers）
小学阶段,L4（四年级下册）,L4,介词on/in/at表时间（时间点/星期）
小学阶段,L4（四年级下册）,L4,How much价格询问句型
小学阶段,L4（四年级下册）,L4,特殊疑问句（what time/what's the weather like）
小学阶段,L5（五年级上册）,L5,频度副词（always/usually/often/sometimes）
小学阶段,L5（五年级上册）,L5,一般现在时（表经常性/习惯性动作）
小学阶段,L5（五年级上册）,L5,情态动词should（表建议）
小学阶段,L5（五年级上册）,L5,动词不定式（to do）
小学阶段,L5（五年级上册）,L5,动名词（doing）
小学阶段,L5（五年级上册）,L5,介词between/above/beside等表方位
